,total,available_cells,max_tile,monotonic,smoothness,merge_pairs,merge_score,center_edges_diff,max_tile_in_corner,depth,pruned,elapsed_time
0,15.0,14,0,0,0.0,0,0.0,0.0,1.0,42,0,0.20059
1,16.0,13,0,0,-0.0,1,1.0,1.0,1.0,54,0,0.214303
2,13.0,12,0,0,-0.0,1,1.0,0.0,0.0,50,0,0.215298
3,19.0,12,0,0,-1.0,2,3.0,3.0,2.0,42,0,0.217136
4,17.0,12,0,0,-2.0,1,2.0,3.0,2.0,54,0,0.207483
5,14.0,12,0,0,-3.0,0,0.0,2.0,3.0,54,0,0.210237
6,16.0,11,0,0,-2.0,2,2.0,2.0,3.0,50,0,0.221084
7,16.0,11,0,0,-3.0,1,2.0,3.0,3.0,46,0,0.223073
8,20.0,11,0,0,-2.0,2,4.0,4.0,3.0,34,0,0.228572
9,20.0,11,0,0,-2.0,1,3.0,5.0,3.0,42,0,0.214273
10,19.0,10,0,0,-3.0,3,5.0,4.0,3.0,54,0,0.206436
11,20.0,10,0,0,-3.0,2,4.0,6.0,3.0,50,0,0.207899
12,21.0,10,0,0,-3.0,2,5.0,6.0,3.0,54,0,0.205854
13,15.0,11,0,0,-4.0,0,0.0,4.0,4.0,54,0,0.206851
14,14.0,10,0,0,-5.0,1,1.0,4.0,4.0,38,0,0.213318
15,17.0,10,0,0,-4.0,2,3.0,4.0,4.0,58,0,0.212509
16,20.0,10,0,1,-4.0,2,4.0,5.0,4.0,42,0,0.209991
17,19.0,10,0,2,-4.0,1,2.0,5.0,4.0,58,0,0.213088
18,21.0,10,0,1,-4.0,1,3.0,7.0,4.0,58,0,0.210915
19,22.0,10,0,0,-4.0,2,5.0,7.0,4.0,46,0,0.21338
20,22.0,10,0,1,-4.0,1,4.0,7.0,4.0,62,0,0.204393
21,20.0,9,0,1,-6.0,1,4.0,8.0,4.0,62,0,0.208516
22,21.0,8,0,1,-6.0,2,5.0,9.0,4.0,66,0,0.20751
23,22.0,8,0,1,-6.0,2,6.0,9.0,4.0,74,0,0.211161
24,22.0,7,0,1,-6.0,3,7.0,9.0,4.0,58,0,0.205601
25,22.0,6,0,1,-7.0,5,10.0,8.0,4.0,70,0,0.201932
26,22.0,6,0,1,-7.0,4,10.0,8.0,4.0,66,0,0.20142
27,18.0,6,0,1,-8.0,3,7.0,8.0,4.0,90,0,0.207807
28,21.0,8,0,0,-6.0,3,6.0,8.0,5.0,50,0,0.202444
29,20.0,9,0,1,-7.0,1,3.0,9.0,5.0,54,0,0.203728
30,16.0,9,0,1,-8.0,2,2.0,7.0,5.0,58,0,0.21417
31,20.0,10,0,2,-6.0,0,0.0,9.0,5.0,50,0,0.213223
32,15.0,9,0,2,-9.0,0,0.0,8.0,5.0,70,0,0.211168
33,11.0,8,0,1,-10.0,1,1.0,6.0,5.0,58,0,0.206093
34,14.0,8,0,0,-10.0,3,5.0,6.0,5.0,58,0,0.203196
35,14.0,8,0,1,-9.0,2,5.0,4.0,5.0,58,0,0.200498
36,22.0,9,0,1,-6.0,2,7.0,6.0,5.0,54,0,0.206986
37,24.0,8,0,1,-6.0,4,9.0,7.0,5.0,58,0,0.211092
38,17.0,8,0,1,-10.0,2,7.0,6.0,5.0,42,0,0.211465
39,16.0,8,0,0,-9.0,2,6.0,6.0,5.0,54,0,0.209432
40,17.0,8,0,0,-9.0,3,8.0,5.0,5.0,58,0,0.213603
41,21.0,9,0,0,-7.0,2,8.0,6.0,5.0,62,0,0.207109
42,19.0,9,0,1,-8.0,2,6.0,6.0,5.0,66,0,0.206144
43,17.0,8,0,1,-9.0,1,5.0,7.0,5.0,74,0,0.208224
44,13.0,8,0,1,-10.0,0,0.0,8.0,6.0,66,0,0.212652
45,12.0,7,0,1,-11.0,1,1.0,8.0,6.0,46,0,0.213027
46,16.0,7,0,1,-10.0,2,3.0,9.0,6.0,74,0,0.203272
47,18.0,8,0,1,-8.0,1,2.0,9.0,6.0,62,0,0.201686
48,19.0,7,0,1,-8.0,2,5.0,8.0,6.0,66,0,0.222364
49,15.0,6,0,1,-10.0,2,5.0,7.0,6.0,74,0,0.210593
50,17.0,7,0,0,-11.0,3,6.0,9.0,6.0,58,0,0.210847
51,18.0,7,0,1,-10.0,2,5.0,9.0,6.0,70,0,0.201598
52,14.0,7,0,0,-13.0,2,6.0,8.0,6.0,78,0,0.201576
53,16.0,8,0,3,-10.0,1,3.0,6.0,6.0,62,0,0.212462
54,15.0,7,0,2,-11.0,3,5.0,6.0,6.0,66,0,0.209999
55,13.0,7,0,2,-12.0,1,3.0,7.0,6.0,46,0,0.212748
56,12.0,6,0,2,-13.0,2,4.0,7.0,6.0,66,0,0.206583
57,15.0,6,0,2,-12.0,2,5.0,8.0,6.0,66,0,0.204574
58,11.0,6,0,0,-12.0,3,4.0,7.0,6.0,66,0,0.202802
59,18.0,8,0,1,-8.0,1,2.0,9.0,6.0,70,0,0.209144
60,15.0,8,0,3,-10.0,0,0.0,8.0,6.0,70,0,0.203534
61,6.0,7,0,1,-12.0,2,4.0,6.0,0.0,66,0,0.211953
62,9.0,6,0,2,-14.0,2,4.0,5.0,6.0,54,0,0.201229
63,11.0,6,0,2,-14.0,2,5.0,6.0,6.0,70,0,0.208193
64,4.0,7,0,2,-18.0,0,0.0,7.0,6.0,74,0,0.202936
65,11.0,6,0,1,-13.0,2,5.0,6.0,6.0,62,0,0.217664
66,14.0,7,0,0,-14.0,2,6.0,9.0,6.0,82,0,0.209183
67,17.0,8,0,1,-12.0,2,8.0,6.0,6.0,50,0,0.202089
68,20.0,8,0,0,-10.0,3,10.0,6.0,6.0,62,0,0.202277
69,21.0,8,0,0,-10.0,3,11.0,6.0,6.0,58,0,0.201437
